show,click
11,1
2,1
7,1
3,1
4,1
71,1
25,1
122,1
1,1
64,1
3,1
1,1
27,1
336,1
985,1
3436,1
76,1
7,1
15,1
19,1
10,1
1,1
1,1
355,1
86,1
59,1
18,1
146,1
5,1
2,1
12,1
13,1
11,1
3,1
25,1
12,1
3,1
1,1
32,1
1,1
1,1
6,1
1,1
3,1
138,1
2,1
11,1
1,1
2,1
1,1
8,1
5,1
1,1
1,1
1,1
3,1
9,1
1,1
14,1
1,1
12,1
3,1
2,1
1,1
30,1
3,1
1,1
278,1
2,1
3,1
6,1
3,1
16,1
65,1
1,1
113,1
2,1
112,1
21,1
1,1
5,1
7,1
447,1
8,1
3,1
14,1
50,1
5,1
2,1
2,1
35,1
13,1
3,1
1,1
22,1
26,1
1,1
79,1
18,1
8,1
20,1
172,1
1,1
33,1
3,1
8,1
1,1
20,1
4,1
1,1
4,1
1,1
3,1
8,1
5,1
30,1
161,1
4,1
70,1
11,1
19,1
14,1
1,0
1,0
15,0
4,0
7,0
409,0
1,0
1,0
32,0
1,0
5,0
1,0
1,0
4,0
1,0
3,0
3,0
41,0
3,0
1,0
9,0
17,0
1,0
1,0
18,0
24,0
2,0
1,0
6,0
3,0
7,0
2,0
1,0
1,0
1,0
5,0
1,0
155,0
2,0
7,0
14,0
7,0
4,0
1,0
5,0
5,0
6,0
3,0
3,0
6,0
1,0
2,0
1,0
24,0
7,0
16,0
4,0
2,0
3,0
43,0
252,0
24,0
1,0
7,0
1,0
29,0
2,0
4,0
36,0
20,0
4,0
1,0
1,0
137,0
5,0
2,0
8,0
1,0
7,0
1,0
2,0
1,0
33,0
23,0
13,0
1,0
29,0
5,0
1,0
3,0
1,0
2,0
1,0
2,0
3,0
71,0
4,0
2,0
1,0
1,0
3,0
5,0
34,0
9,0
1,0
1,0
1,0
1,0
1,0
4,0
26,0
5,0
6,0
1,0
1,0
3,0
4,0
3,0
1,0
1,0
1,0
7,0
1,0
1,0
7,0
1,0
2,0
18,0
5,0
16,0
8,0
1,0
1,0
12,0
5,0
2,0
3,0
4,0
15,0
17,0
52,0
1,0
131,0
6,0
1,0
2,0
8,0
2,0
41,0
17,0
19,0
4,0
15,0
6,0
1,0
5,0
4,0
4,0
1,0
1,0
117,0
1,0
1,0
57,0
3,0
9,0
2,0
2,0
1,0
1,0
1,0
7,0
1,0
1,0
4,0
2,0
1,0
1,0
3,0
1,0
3,0
4,0
1,0
2,0
151,0
7,0
4,0
25,0
4,0
1,0
3,0
4,0
1,0
99,0
4,0
4,0
60,0
2,0
16,0
1,0
1,0
1,0
7,0
5,0
9,0
15,0
24,0
1,0
41,0
1,0
254,0
42,0
4,0
10,0
10,0
4,0
1,0
6,0
6,0
35,0
7,0
2,0
6,0
1,0
5,0
1,0
1,0
1,0
1,0
62,0
5,0
12,0
10,0
50,0
5,0
1,0
9,0
5,0
14,0
1,0
33,0
15,0
53,0
6,0
10,0
2,0
2,0
2,0
4,0
19,0
4,0
5,0
2,0
8,0
9,0
2,0
1,0
2,0
1,0
6,0
1,0
8,0
6,0
1,0
9,0
2,0
4,0
2,0
2,0
1,0
4,0
8,0
1,0
2,0
99,0
15,0
232,0
6,0
4,0
3,0
2,0
1,0
22,0
3,0
50,0
17,0
14,0
43,0
1,0
4,0
1,0
1,0
4,0
2,0
4,0
2,0
5,0
1,0
1,0
1,0
1,0
5,0
1,0
21,0
3,0
2,0
3,0
3,0
145,0
1,0
1,0
5,0
13,0
1,0
8,0
1,0
36,0
17,0
1,0
9,0
1,0
9,0
1,0
8,0
9,0
31,0
1,0
3,0
49,0
234,0
7,0
18,0
1,0
1,0
5,0
29,0
1,0
2,0
1,0
1,0
1,0
16,0
1,0
1,0
6,0
1,0
4,0
13,0
5,0
2,0
1,0
2,0
3,0
